City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Country
0,avarua,-21.2078,-159.775,78.8,83,75,27.63,1619128605,CK
1,longyearbyen,78.2186,15.6401,17.6,62,75,1.48,1619128605,SJ
2,port elizabeth,-33.918,25.5701,64.4,88,0,13.8,1619128605,ZA
3,cape town,-33.9258,18.4232,60.01,94,75,11.5,1619128350,ZA
4,lorengau,-2.0226,147.2712,82.27,78,100,3.98,1619128606,PG
5,new norfolk,-42.7826,147.0587,51.01,63,70,1.01,1619128606,AU
6,pierre,44.3683,-100.351,39.2,87,90,14.97,1619128606,US
7,naze,28.3667,129.4833,69.8,83,75,17.27,1619128607,JP
8,georgetown,5.4112,100.3354,78.01,94,40,2.3,1619128580,MY
9,qaqortoq,60.7167,-46.0333,53.6,26,75,14.97,1619128607,GL
10,rikitea,-23.1203,-134.9692,78.08,75,81,16.33,1619128607,PF
11,laguna,38.421,-121.4238,72.0,43,1,11.5,1619128608,US
12,bara,10.3744,10.7288,88.63,40,42,8.48,1619128608,NG
13,arraial do cabo,-22.9661,-42.0278,71.6,88,20,17.27,1619128608,BR
14,mogadishu,2.0371,45.3438,82.29,77,100,10.4,1619128609,SO
15,vila,42.0304,-8.1588,53.01,88,77,1.01,1619128609,PT
16,kodiak,57.79,-152.4072,42.8,87,90,12.66,1619128609,US
17,hobart,-42.8794,147.3294,51.8,58,75,6.91,1619128610,AU
18,the valley,18.217,-63.0578,82.4,74,20,14.97,1619128310,AI
19,kaitangata,-46.2817,169.8464,55.99,89,100,4.0,1619128610,NZ
20,ribeira grande,38.5167,-28.7,57.11,78,60,37.54,1619128610,PT
21,wicklow,53.0,-6.4167,42.8,65,0,5.75,1619128611,IE
22,pangnirtung,66.1451,-65.7125,21.2,86,75,9.22,1619128611,CA
23,lebu,-37.6167,-73.65,53.62,71,86,3.13,1619128583,CL
24,yara,20.2753,-76.9533,89.04,44,60,6.49,1619128611,CU
25,lucapa,-8.4192,20.7447,66.79,95,86,2.73,1619128612,AO
26,narrabri,-30.3167,149.7833,51.01,81,0,5.5,1619128612,AU
27,umm kaddadah,13.6017,26.6876,84.85,16,2,10.51,1619128612,SD
28,vangaindrano,-23.35,47.6,70.57,88,87,1.34,1619128613,MG
29,port blair,11.6667,92.75,79.88,76,63,5.64,1619128613,IN
30,aginskoye,51.1,114.53,30.06,49,100,8.57,1619128613,RU
31,hambantota,6.1241,81.1185,78.8,100,40,3.44,1619128613,LK
32,hilo,19.7297,-155.09,82.4,51,75,8.05,1619128528,US
33,tasiilaq,65.6145,-37.6368,30.2,55,75,16.11,1619128614,GL
34,qaanaaq,77.484,-69.3632,16.36,80,87,10.38,1619128614,GL
35,busselton,-33.65,115.3333,57.0,83,94,1.99,1619128614,AU
36,geraldton,-28.7667,114.6,62.6,82,100,9.22,1619128615,AU
37,vila velha,-20.3297,-40.2925,77.0,78,75,8.05,1619128615,BR
38,bredasdorp,-34.5322,20.0403,55.4,94,2,3.44,1619128616,ZA
39,labuhan,-6.8844,112.2051,74.8,81,45,6.89,1619128616,ID
40,licheng,23.2955,113.8284,80.01,88,0,2.24,1619128616,CN
41,pacific grove,36.6177,-121.9166,57.2,67,90,14.97,1619128560,US
42,punta arenas,-53.15,-70.9167,48.2,87,75,6.91,1619128585,CL
43,nikolskoye,59.7035,30.7861,45.0,93,90,2.24,1619128617,RU
44,fortuna,40.5982,-124.1573,57.99,87,40,14.97,1619128617,US
45,esperance,-33.8667,121.9,53.6,94,99,8.05,1619128617,AU
46,pevek,69.7008,170.3133,21.04,71,32,11.18,1619128618,RU
47,maputo,-25.9653,32.5892,71.6,83,20,3.44,1619128393,MZ
48,severo-kurilsk,50.6789,156.125,35.1,94,68,4.03,1619128618,RU
49,kahului,20.8947,-156.47,84.2,48,40,19.57,1619128618,US
50,bluff,-46.6,168.3333,48.99,98,100,7.0,1619128619,NZ
51,avera,33.194,-82.5271,64.4,19,1,8.05,1619128619,US
52,kavieng,-2.5744,150.7967,81.72,75,90,7.58,1619128619,PG
53,lakes entrance,-37.8811,147.981,55.99,74,81,11.34,1619128620,AU
54,mataura,-46.1927,168.8643,48.99,98,97,7.0,1619128620,NZ
55,cidreira,-30.1811,-50.2056,69.6,73,1,16.64,1619128613,BR
56,padang,-0.9492,100.3543,75.2,94,40,1.14,1619128457,ID
57,kimry,56.8667,37.35,44.44,89,50,8.3,1619128620,RU
58,gazanjyk,39.2446,55.5154,70.79,14,54,14.25,1619128621,TM
59,castro,-24.7911,-50.0119,58.75,83,100,4.05,1619128621,BR
60,lasa,46.6166,10.7002,59.0,65,0,2.3,1619128621,IT
61,rosarito,32.3333,-117.0333,60.8,77,90,8.05,1619128622,MX
62,margate,51.3813,1.3862,43.0,73,8,1.99,1619128622,GB
63,torbay,47.6666,-52.7314,43.0,87,90,21.85,1619128622,CA
64,jamestown,42.097,-79.2353,34.0,93,90,17.27,1619128347,US
65,penzance,50.1186,-5.5371,48.2,66,0,24.67,1619128623,GB
66,tuktoyaktuk,69.4541,-133.0374,10.4,72,40,9.22,1619128623,CA
67,kailua,21.4022,-157.7394,84.2,65,40,11.5,1619128623,US
68,kapaa,22.0752,-159.319,80.6,69,20,11.5,1619128624,US
69,kudahuvadhoo,2.6708,72.8944,82.58,70,90,11.23,1619128624,MV
70,hole narsipur,12.7828,76.2431,72.07,78,100,1.36,1619128624,IN
71,roma,43.2128,-75.4557,39.99,45,90,24.16,1619128625,US
72,pula,44.8683,13.8481,44.6,93,0,3.44,1619128625,HR
73,butaritari,3.0707,172.7902,82.62,74,49,11.25,1619128596,KI
74,poum,-20.2333,164.0167,77.99,79,66,12.93,1619128625,NC
75,albany,42.6001,-73.9662,42.01,34,86,14.36,1619128572,US
76,alice springs,-23.7,133.8833,46.4,76,0,4.61,1619128445,AU
77,vryburg,-26.9566,24.7284,60.12,41,2,6.55,1619128626,ZA
78,santa ines,-3.6667,-45.38,74.98,96,97,4.14,1619128626,BR
79,victoria,22.2855,114.1577,77.0,83,0,5.06,1619128361,HK
80,port alfred,-33.5906,26.891,67.42,80,65,18.75,1619128627,ZA
81,antofagasta,-23.65,-70.4,64.4,72,20,10.36,1619128563,CL
82,barrow,71.2906,-156.7887,19.4,79,1,5.75,1619128627,US
83,hermanus,-34.4187,19.2345,60.01,85,0,5.01,1619128627,ZA
84,atar,20.5169,-13.0499,82.11,11,0,6.02,1619128628,MR
85,ondangwa,-17.9167,15.95,71.6,49,36,4.61,1619128628,NA
86,mantua,45.1667,10.7833,55.0,80,33,1.99,1619128628,IT
87,claremorris,53.7167,-9.0,52.0,66,3,1.99,1619128629,IE
88,marysville,48.0518,-122.1771,61.0,62,90,6.91,1619128437,US
89,vaini,-21.2,-175.2,84.2,84,40,5.75,1619128629,TO
90,faanui,-16.4833,-151.75,81.03,74,12,15.32,1619128629,PF
91,port lincoln,-34.7333,135.8667,60.06,71,100,7.36,1619128630,AU
92,thompson,55.7435,-97.8558,21.2,79,75,18.41,1619128630,CA
93,havelock,34.8791,-76.9013,60.8,25,1,13.8,1619128630,US
94,ponta do sol,32.6667,-17.1,64.99,89,82,5.01,1619128631,PT
95,skjervoy,70.0311,20.9714,36.57,63,91,17.0,1619128631,NO
96,ushuaia,-54.8,-68.3,44.6,93,75,11.5,1619128332,AR
97,puerto ayora,-0.7393,-90.3518,82.4,69,20,19.57,1619128631,EC
98,rocha,-34.4833,-54.3333,62.56,84,19,8.28,1619128632,UY
99,saint george,37.1041,-113.5841,75.99,16,1,10.36,1619128544,US
100,half moon bay,37.4636,-122.4286,64.0,93,90,5.75,1619128587,US
101,jishou,28.3167,109.7167,64.74,93,100,4.56,1619128632,CN
102,talcahuano,-36.7167,-73.1167,59.0,67,0,9.22,1619128632,CL
103,amapa,1.0,-52.0,73.09,98,100,3.04,1619128633,BR
104,atuona,-9.8,-139.0333,80.74,75,53,20.51,1619128633,PF
105,conselheiro pena,-19.1722,-41.4722,74.37,66,1,2.19,1619128633,BR
106,atambua,-9.1061,124.8925,70.74,86,42,3.31,1619128634,ID
107,donskoye,45.4552,41.9741,48.2,87,75,8.95,1619128634,RU
108,lompoc,34.6391,-120.4579,55.4,71,44,10.36,1619128635,US
109,acajutla,13.5928,-89.8275,82.99,53,40,8.48,1619128635,SV
110,clyde river,70.4692,-68.5914,15.8,79,75,5.75,1619128635,CA
111,east london,-33.0153,27.9116,68.0,79,97,12.3,1619128636,ZA
112,saint-pierre,-21.3393,55.4781,77.0,78,90,18.41,1619128636,RE
113,dikson,73.5069,80.5464,28.17,91,100,23.31,1619128636,RU
114,juan lacaze,-34.4342,-57.4381,75.2,69,0,1.14,1619128637,UY
115,novyy urengoy,66.0833,76.6333,28.53,84,100,16.46,1619128637,RU
116,nome,64.5011,-165.4064,42.8,49,1,6.91,1619128637,US
117,otane,-39.8833,176.6333,64.99,74,98,1.01,1619128637,NZ
118,bubaque,11.2833,-15.8333,78.66,67,63,17.09,1619128638,GW
119,namatanai,-3.6667,152.4333,81.54,76,96,1.68,1619128638,PG
120,grand gaube,-20.0064,57.6608,75.99,87,100,3.0,1619128638,MU
121,hithadhoo,-0.6,73.0833,82.65,73,44,7.58,1619128591,MV
122,nabire,-3.3667,135.4833,77.09,88,100,2.46,1619128507,ID
123,kyshtovka,56.555,76.6271,29.86,80,58,5.06,1619128639,RU
124,forbes,-33.3833,148.0167,46.0,78,0,1.77,1619128639,AU
125,les escoumins,48.1111,-69.0236,35.6,87,100,24.16,1619128639,CA
126,bethel,41.3712,-73.414,44.01,44,94,8.99,1619128588,US
127,burladingen,48.2833,9.1167,39.99,63,10,3.22,1619128640,DE
128,alvaraes,-3.2208,-64.8042,75.2,100,90,3.44,1619128640,BR
129,katsuura,35.1333,140.3,55.0,57,7,1.99,1619128641,JP
130,narsaq,60.9167,-46.05,53.6,26,75,14.97,1619128641,GL
131,tooele,40.5308,-112.2983,60.8,29,1,6.91,1619128641,US
132,altay,47.8667,88.1167,26.28,47,100,2.3,1619128663,CN
133,trairi,-3.2778,-39.2689,77.79,83,17,5.23,1619128663,BR
134,shawville,45.6001,-76.4827,45.0,30,100,4.0,1619128663,CA
